State,APMC's,Commodity,Min Price,Modal Price,Max Price,Date
UTTAR PRADESH,KHALILABAD,POINTED GOURD (PARWAL),"1,600","1,600","1,600",10-09-2025
UTTAR PRADESH,POWAYAN,PUMPKIN,"1,200","1,200","1,200",10-09-2025
UTTAR PRADESH,RAE BARELI,BITTER GOURD,"1,000","1,000","1,000",10-09-2025
UTTAR PRADESH,SAMBHAL APMC,ARBI (COLACASIA),"1,400","1,400","1,400",10-09-2025
UTTAR PRADESH,SHAGANJ,BOTTLE GOURD,"1,525","1,525","1,525",10-09-2025
UTTARAKHAND,BHAGWANPUR,CUCUMBER,700,700,"1,500",10-09-2025
UTTARAKHAND,BHAGWANPUR,TOMATO,700,700,700,10-09-2025
UTTARAKHAND,MANGLOUR,CUCUMBER,"1,010","1,010","1,010",10-09-2025
UTTARAKHAND,RAMNAGAR,ONION RED,"1,500","1,500","1,500",10-09-2025
UTTARAKHAND,ROORKEE,LEMON,"1,500","1,500","1,500",10-09-2025
UTTARAKHAND,ROORKEE,RADDISH,"1,000","1,000","1,000",10-09-2025
UTTARAKHAND,ROORKEE,BANANA,"1,050","1,050","1,050",10-09-2025
UTTARAKHAND,ROORKEE,CAULIFLOWER,"1,500","1,500","1,500",10-09-2025
UTTARAKHAND,RUDRAPUR,RIDGE GOURD (TURAI),"1,600","1,600","1,600",10-09-2025
WEST BENGAL,BISHNUPUR,LADY FINGER,"3,800","3,800","3,800",10-09-2025
WEST BENGAL,SAMSHERGANJ KRISHAK BAZAR,PUMPKIN,"1,425","1,425","1,425",10-09-2025
CHHATTISGARH,RAJNANDGAON,URAD (BLACK GRAM),"5,000","5,500","5,500",10-09-2025
CHHATTISGARH,RAJNANDGAON,FIELDGRAM,"7,000","7,000","7,000",10-09-2025
GUJARAT,BARDOLI APMC,BRINJAL,"2,650","2,800","2,800",10-09-2025
GUJARAT,BILIMORA,CAULIFLOWER,"3,750","4,000","4,000",10-09-2025
GUJARAT,NAVSARI APMC,BOTTLE GOURDE,"3,100","3,100","3,100",10-09-2025
GUJARAT,SONGADH APMC,BHINDI (LADIES FINGER),"3,100","3,245","3,360",10-09-2025
